mode,cluster,top_above_average_features,top_below_average_features
solo,0,"boostHealRatio (0.85), weaponsAcquired (0.48), damagePerKill (0.45), walkDistance (0.43), headshotRate (0.37), boosts (0.30)","totalDistance (0.13), heals (0.06), swimDistance (0.03), rideDistance (-0.15), assists (-0.24), supportActions (-0.24)"
solo,1,"swimDistance (-0.11), assists (-0.24), supportActions (-0.24), rideDistance (-0.29), headshotRate (-0.35), heals (-0.37)","damageDealt (-0.50), totalDistance (-0.52), healsAndBoosts (-0.53), boosts (-0.58), walkDistance (-0.58), boostHealRatio (-0.66)"
solo,2,"kills (2.62), combatContribution (2.52), damageDealt (2.52), boosts (2.05), healsAndBoosts (1.75), walkDistance (1.42)","boostHealRatio (0.92), weaponsAcquired (0.87), rideDistance (0.28), swimDistance (0.18), assists (0.01), supportActions (0.01)"
solo,3,"rideDistance (2.44), totalDistance (2.36), healsAndBoosts (1.40), heals (1.39), walkDistance (1.15), boosts (1.00)","headshotRate (0.02), kills (-0.01), damageDealt (-0.01), combatContribution (-0.04), assists (-0.21), supportActions (-0.21)"
solo,4,"assists (3.98), supportActions (3.98), damagePerKill (0.99), combatContribution (0.94), damageDealt (0.63), boosts (0.40)","totalDistance (0.31), weaponsAcquired (0.23), heals (0.22), headshotRate (0.19), rideDistance (0.14), swimDistance (0.05)"
duo,0,"topKillShare (0.88), topDamageShare (0.30), topWalkShare (0.29), kills_std (0.19), headshotRate_mean (0.14), damageDealt_std (0.05)","healsAndBoosts_mean (-0.49), boosts_max (-0.54), boosts_mean (-0.55), totalDistance_mean (-0.61), walkDistance_max (-0.63), walkDistance_mean (-0.64)"
duo,1,"combatContribution_mean (2.64), kills_mean (2.60), damageDealt_mean (2.59), damageDealt_max (2.53), kills_max (2.50), DBNOs_mean (2.36)","topBoostShare (0.49), rideDistance_mean (0.49), walkDistance_std (0.47), swimDistance_mean (0.12), topDamageShare (-0.06), topWalkShare (-0.34)"
duo,2,"topBoostShare (0.75), boostHealRatio_mean (0.73), totalDistance_mean (0.66), walkDistance_mean (0.59), walkDistance_max (0.58), weaponsAcquired_mean (0.57)","kills_std (-0.46), damageDealt_max (-0.46), DBNOs_mean (-0.47), kills_mean (-0.48), combatContribution_mean (-0.49), kills_max (-0.51)"
duo,3,"topWalkShare (0.28), swimDistance_mean (-0.13), topDamageShare (-0.26), walkDistance_std (-0.32), rideDistance_mean (-0.36), revives_mean (-0.42)","kills_mean (-0.76), combatContribution_mean (-0.76), kills_max (-0.80), boostHealRatio_mean (-0.83), topBoostShare (-0.87), topKillShare (-1.16)"
duo,4,"boosts_max (0.91), healsAndBoosts_mean (0.90), boosts_mean (0.89), walkDistance_max (0.88), walkDistance_mean (0.87), heals_mean (0.76)","damageDealt_std (0.47), walkDistance_std (0.38), rideDistance_mean (0.38), swimDistance_mean (0.16), topDamageShare (0.00), topWalkShare (-0.30)"
squad,0,"topBoostShare (1.11), topWalkShare (0.18), topKillShare (0.16), topDamageShare (0.09), headshotRate_mean (-0.17), swimDistance_mean (-0.17)","boosts_max (-0.44), healsAndBoosts_mean (-0.54), boosts_mean (-0.59), totalDistance_mean (-0.64), walkDistance_max (-0.67), walkDistance_mean (-0.68)"
squad,1,"combatContribution_mean (2.29), kills_mean (2.26), damageDealt_mean (2.25), damageDealt_max (2.14), DBNOs_mean (2.14), kills_max (2.11)","rideDistance_mean (0.41), swimDistance_mean (0.06), topBoostShare (-0.06), topKillShare (-0.11), topWalkShare (-0.36), topDamageShare (-0.37)"
squad,2,"totalDistance_mean (0.71), boostHealRatio_mean (0.67), walkDistance_mean (0.66), walkDistance_max (0.65), weaponsAcquired_mean (0.60), rideDistance_mean (0.50)","damageDealt_max (-0.46), damageDealt_mean (-0.48), kills_max (-0.48), kills_mean (-0.50), combatContribution_mean (-0.51), DBNOs_mean (-0.53)"
squad,3,"boosts_mean (0.81), boosts_max (0.81), healsAndBoosts_mean (0.81), walkDistance_max (0.77), walkDistance_mean (0.75), boosts_std (0.72)","rideDistance_mean (0.25), swimDistance_mean (0.14), topBoostShare (0.04), topKillShare (0.00), topWalkShare (-0.32), topDamageShare (-0.35)"
squad,4,"topWalkShare (0.63), topDamageShare (0.35), topKillShare (-0.14), swimDistance_mean (-0.19), rideDistance_mean (-0.43), headshotRate_mean (-0.45)","weaponsAcquired_mean (-1.02), walkDistance_max (-1.02), boosts_max (-1.11), boosts_std (-1.13), boostHealRatio_mean (-1.25), topBoostShare (-1.35)"
