feature,importance
walkDistance_max,0.7354027840785038
walkDistance_mean,0.09287442657977134
boosts_sum,0.020538530081849644
numGroups,0.015307411495155618
boosts_mean,0.01046272693402819
longestKill_mean,0.01011049837144019
healsAndBoosts_mean,0.009253385675440233
perspectiveIndex,0.008967350981159087
damageDealt_mean,0.008685631477834719
totalDistance_max,0.007009440218359824
damageDealt_max,0.0067063443256280665
kills_sum,0.0065512606209702775
weaponsAcquired_mean,0.006305510770440079
totalDistance_mean,0.005556907318770387
maxPlace,0.004356051783708714
topWalkShare,0.0038266377295061048
weaponsAcquired_max,0.0037929762221553314
DBNOs_sum,0.003000443082726002
boosts_max,0.002749350818570478
weaponsAcquired_sum,0.002706248354262316
rideDistance_mean,0.002513740574157066
rideDistance_std,0.0024382261038371797
swimDistance_mean,0.0024018304641698247
longestKill_max,0.0020045629645902173
healsAndBoosts_sum,0.001961190842272929
kills_mean,0.0018357773212141146
swimDistance_max,0.0018035738719613535
totalDistance_std,0.0015691124526742378
rideDistance_max,0.0014556187258905119
supportActions_sum,0.001237143528870162
walkDistance_sum,0.0012194963630642707
swimDistance_sum,0.0011281927041365749
supportActions_mean,0.0011254936880222743
topBoostShare,0.000909566862649657
DBNOs_mean,0.0009019483536643974
groupSize,0.000881497031259414
walkDistance_std,0.0008767061168667861
boostHealRatio_mean,0.0008652794336526051
teamKills_sum,0.0007550548721911429
heals_max,0.0007346545212513034
DBNOs_max,0.0006592514748298715
damageDealt_sum,0.0006105456179607282
damagePerKill_mean,0.0005762105945338635
heals_sum,0.000547718992221751
totalDistance_sum,0.0005209315950430823
teamKills_mean,0.0004535741433900544
combatContribution_sum,0.0004014447959007482
weaponsAcquired_std,0.00039133933740471294
revives_max,0.00038260226806984194
combatContribution_mean,0.0003460979726412171
heals_std,0.00026713432016176253
revives_mean,0.00026646046907688253
kills_std,0.00024744682959887773
killStreaks_max,0.00021426840689763653
kills_max,0.0001964045310984347
damageDealt_std,0.00018897507473408556
boosts_std,0.0001796697061432914
heals_mean,0.00013572234432206404
revives_sum,0.0001173931046774426
topKillShare,8.95456441293244e-05
vehicleDestroys_mean,7.721790227254303e-05
assists_sum,6.59195736226272e-05
killEfficiency_mean,5.4863729473544456e-05
assists_std,4.946195183483482e-05
vehicleDestroys_sum,4.606139313729504e-05
rideDistance_sum,3.921219174441691e-05
assists_max,3.82877179709683e-05
killStreaks_sum,3.164762500333051e-05
DBNOs_std,1.3166116963128623e-05
headshotRate_mean,8.840858465046594e-06
headshotKills_sum,0.0
fillRatio,0.0
isFullTeam,0.0
roadKills_sum,0.0
roadKills_mean,0.0
assists_mean,0.0
headshotKills_mean,0.0
killStreaks_mean,0.0
headshotKills_max,0.0
revives_std,0.0
topDamageShare,0.0
