mode,unit_or_version,model,MAE,RMSE,R2
duo,team_basic,GBTRegressor,0.07662286920920118,0.09885351149963596,0.8862581878984253
duo,team_basic,Linear Regression baseline,0.10851559757517076,0.1359381126015605,0.7849108949754725
duo,team_full,GBTRegressor,0.07442155526425864,0.09583583085665817,0.8930965390174553
duo,team_full,Linear Regression baseline,0.09580470334756096,0.12057814179208434,0.8307716521822683
solo,player,GBTRegressor,0.07447770649809068,0.0974168407565772,0.8885940655473049
solo,player,Linear Regression baseline,0.10530844158109509,0.13405146189139255,0.7890481432187185
squad,team_basic,GBTRegressor,0.0885218706596922,0.11400927355778949,0.848872696313292
squad,team_basic,Linear Regression baseline,0.12000258276037817,0.15094678801104963,0.7350826943606247
squad,team_full,GBTRegressor,0.08459889178763862,0.10913123071412695,0.8615284087349832
squad,team_full,Linear Regression baseline,0.09916922574167786,0.12484023453240428,0.8187943524958875
