mode,unit_or_version,feature,importance
solo,player,walkDistance,0.7324467798577494
solo,player,boosts,0.07661560461978482
solo,player,totalDistance,0.051241504303664344
solo,player,combatContribution,0.03241260569220726
solo,player,numGroups,0.020285188419182098
solo,player,swimDistance,0.017173976822119387
solo,player,perspectiveIndex,0.012064928214911959
solo,player,teamKills,0.009491431838088624
solo,player,swimRatio,0.007594993884203497
solo,player,rideDistance,0.00671711940438869
solo,player,weaponsAcquired,0.006686783803341166
solo,player,damageDealt,0.004660752538357738
solo,player,healsAndBoosts,0.004614006283633764
solo,player,walkRatio,0.0030329524450179376
solo,player,assists,0.002842577498866732
solo,player,longestKill,0.00260904892533447
solo,player,heals,0.0024086053465121465
solo,player,boostHealRatio,0.0018132655832899715
solo,player,rideRatio,0.001736402019767765
solo,player,damagePerKill,0.0012327623135899696
solo,player,maxPlace,0.000930646398123351
solo,player,killStreaks,0.0003623708035023252
solo,player,hasBoosts,0.0003604458486680185
solo,player,killEfficiency,0.0002761090244273503
solo,player,hasHeals,0.00016685185290504035
solo,player,headshotRate,5.957358160054263e-05
solo,player,roadKills,4.935872496677678e-05
solo,player,kills,4.424444606471117e-05
solo,player,headshotKills,4.239091729029796e-05
solo,player,vehicleDestroys,2.6718588439749744e-05
solo,player,DBNOs,0.0
solo,player,revives,0.0
solo,player,supportActions,0.0
