feature,importance
walkDistance_max,0.6902955601694645
walkDistance_mean,0.09209564841439087
boosts_mean,0.02698317903376896
kills_sum,0.025214420739831177
kills_mean,0.018977313320970125
boosts_max,0.008695454065920767
rideDistance_mean,0.008688610308225085
rideDistance_std,0.00839662535840274
perspectiveIndex,0.00770115844462477
damageDealt_mean,0.007231010565244816
DBNOs_mean,0.007171900741702237
longestKill_mean,0.007156283770831739
totalDistance_mean,0.006310354428966835
swimDistance_mean,0.005439227632411923
supportActions_mean,0.005252156620222729
healsAndBoosts_mean,0.005137749965862822
walkDistance_sum,0.00496102018459764
walkDistance_std,0.0049107753407396666
totalDistance_max,0.004765431044837316
topWalkShare,0.00451384881104946
damageDealt_sum,0.004186488005234587
boosts_sum,0.003962434742802496
damageDealt_max,0.0031336860807878227
weaponsAcquired_mean,0.0030414474708620374
maxPlace,0.002966521565421485
DBNOs_sum,0.002949172349835108
swimDistance_max,0.0023457993006226153
boosts_std,0.0021411264294747124
heals_mean,0.0019344379579365229
weaponsAcquired_max,0.0016770428786884383
teamKills_mean,0.00162764988704976
boostHealRatio_mean,0.0016196653325365748
longestKill_max,0.001592713927117323
totalDistance_std,0.0014430296600835685
heals_max,0.001431669434113912
groupSize,0.0014143314787442162
rideDistance_max,0.0013576400662286645
numGroups,0.0013499333374248552
kills_max,0.0009731164373754076
weaponsAcquired_sum,0.0009531834452943269
damagePerKill_mean,0.0008962280884025034
heals_std,0.0008473389798906862
DBNOs_max,0.000683914855317367
revives_mean,0.0006751638892693085
teamKills_sum,0.0006493603774634214
swimDistance_sum,0.0005794527779805097
supportActions_sum,0.0005611989853554403
damageDealt_std,0.00047466187505875156
healsAndBoosts_sum,0.00039228283285785336
totalDistance_sum,0.00031555297542058955
vehicleDestroys_sum,0.0002990266755194034
heals_sum,0.00019553805806442725
rideDistance_sum,0.00018965531572673512
topBoostShare,0.00017968378487445325
vehicleDestroys_mean,0.00017477992962267966
killStreaks_sum,0.00010285481666042879
combatContribution_mean,8.820910810348699e-05
revives_max,8.062973557970558e-05
topKillShare,7.739482747978864e-05
weaponsAcquired_std,7.602730625176906e-05
killEfficiency_mean,6.469794475537382e-05
assists_sum,6.116218357389115e-05
assists_mean,5.967803264746042e-05
DBNOs_std,4.487872980833971e-05
headshotRate_mean,4.164171855567863e-05
topDamageShare,3.912671477959008e-05
revives_sum,3.2330307769859406e-05
killStreaks_max,3.123740313935686e-05
revives_std,2.0231485695913908e-05
kills_std,1.8575325584281714e-05
headshotKills_mean,1.8529054809778222e-05
headshotKills_sum,1.6754286266275678e-05
combatContribution_sum,1.3382868014039786e-05
roadKills_sum,0.0
isFullTeam,0.0
fillRatio,0.0
roadKills_mean,0.0
killStreaks_mean,0.0
assists_max,0.0
headshotKills_max,0.0
assists_std,0.0
